Naemorhedus evansi
Balaenoptera acutorostrata
Pseudois nayaur
Peponocephala electra
Orcinus orca
Grampus griseus
Globicephala macrorhynchus
Feresa attenuata
Delphinus capensis
Lagenodelphis hosei
Orcaella brevirostris
Pseudorca crassidens
Sousa chinensis
Neophocaena phocaenoides
Stenella longirostris
Stenella coeruleoalba
Physeter macrocephalus
Kogia sima
Kogia breviceps
Steno bredanensis
Tursiops aduncus
Stenella attenuata
Tursiops truncatus
Ziphius cavirostris
Mesoplodon ginkgodens
Indopacetus pacificus
Mesoplodon densirostris
Mesoplodon layardii
