species_key,scientific_name,canonical_scientific_name,common_name,order,family,genus,species_epithet,taxonomic_rank,marine,terrestrial,myanmar_distribution,global_distribution,conservation_status,myanmar_protection_status,identification_active,identification_level,taxonomy_notes,manual_review,source_dataset,source_url,source_year,current_mdd_scientific_name,mdd_match_status,taxonomy_enrichment_source
rhizomys_sinensis,Rhizomys sinensis,Rhizomys sinensis,Chinese Bamboo Rat,Rodentia,Spalacidae,Rhizomys,sinensis,species,false,true,,,,,true,,,false,Mammals of Myanmar: an annotated checklist,https://www.gbif.org/dataset/0837bd43-fa3c-4a68-b257-81cb7c234e44,2024,Rhizomys sinensis,exact,ASM Mammal Diversity Database v2.5 (2026)
apodemus_draco,Apodemus draco,Apodemus draco,South China Field Mouse,Rodentia,Muridae,Apodemus,draco,species,false,true,,,,,true,,,false,Mammals of Myanmar: an annotated checklist,https://www.gbif.org/dataset/0837bd43-fa3c-4a68-b257-81cb7c234e44,2024,Apodemus draco,exact,ASM Mammal Diversity Database v2.5 (2026)
microtus_clarkei,Microtus clarkei,Microtus clarkei,,Rodentia,Cricetidae,Microtus,clarkei,species,false,true,,,,,true,,,false,Mammals of Myanmar: an annotated checklist,https://www.gbif.org/dataset/0837bd43-fa3c-4a68-b257-81cb7c234e44,2024,,genus_family_only,ASM Mammal Diversity Database v2.5 (2026)
apodemus_latronum,Apodemus latronum,Apodemus latronum,Large-eared Field Mouse,Rodentia,Muridae,Apodemus,latronum,species,false,true,,,,,true,,,false,Mammals of Myanmar: an annotated checklist,https://www.gbif.org/dataset/0837bd43-fa3c-4a68-b257-81cb7c234e44,2024,Apodemus latronum,exact,ASM Mammal Diversity Database v2.5 (2026)
cannomys_badius,Cannomys badius,Cannomys badius,Lesser Bamboo Rat,Rodentia,Spalacidae,Cannomys,badius,species,false,true,,,,,true,,,false,Mammals of Myanmar: an annotated checklist,https://www.gbif.org/dataset/0837bd43-fa3c-4a68-b257-81cb7c234e44,2024,Cannomys badius,exact,ASM Mammal Diversity Database v2.5 (2026)
rhizomys_pruinosus,Rhizomys pruinosus,Rhizomys pruinosus,Hoary Bamboo Rat,Rodentia,Spalacidae,Rhizomys,pruinosus,species,false,true,,,,,true,,,false,Mammals of Myanmar: an annotated checklist,https://www.gbif.org/dataset/0837bd43-fa3c-4a68-b257-81cb7c234e44,2024,Rhizomys pruinosus,exact,ASM Mammal Diversity Database v2.5 (2026)
rhizomys_sumatrensis,Rhizomys sumatrensis,Rhizomys sumatrensis,Indomalayan Bamboo Rat,Rodentia,Spalacidae,Rhizomys,sumatrensis,species,false,true,,,,,true,,,false,Mammals of Myanmar: an annotated checklist,https://www.gbif.org/dataset/0837bd43-fa3c-4a68-b257-81cb7c234e44,2024,Rhizomys sumatrensis,exact,ASM Mammal Diversity Database v2.5 (2026)
eothenomys_cachinus,Eothenomys cachinus,Eothenomys cachinus,,Rodentia,Cricetidae,Eothenomys,cachinus,species,false,true,,,,,true,,,false,Mammals of Myanmar: an annotated checklist,https://www.gbif.org/dataset/0837bd43-fa3c-4a68-b257-81cb7c234e44,2024,,genus_family_only,ASM Mammal Diversity Database v2.5 (2026)
eothenomys_melanogaster,Eothenomys melanogaster,Eothenomys melanogaster,Pere David's Red-backed Vole,Rodentia,Cricetidae,Eothenomys,melanogaster,species,false,true,,,,,true,,,false,Mammals of Myanmar: an annotated checklist,https://www.gbif.org/dataset/0837bd43-fa3c-4a68-b257-81cb7c234e44,2024,Eothenomys melanogaster,exact,ASM Mammal Diversity Database v2.5 (2026)
apodemus_agrarius,Apodemus agrarius,Apodemus agrarius,Striped Field Mouse,Rodentia,Muridae,Apodemus,agrarius,species,false,true,,,,,true,,,false,Mammals of Myanmar: an annotated checklist,https://www.gbif.org/dataset/0837bd43-fa3c-4a68-b257-81cb7c234e44,2024,Apodemus agrarius,exact,ASM Mammal Diversity Database v2.5 (2026)
chiropodomys_gliroides,Chiropodomys gliroides,Chiropodomys gliroides,Indomalayan Pencil-tailed Tree Mouse,Rodentia,Muridae,Chiropodomys,gliroides,species,false,true,,,,,true,,,false,Mammals of Myanmar: an annotated checklist,https://www.gbif.org/dataset/0837bd43-fa3c-4a68-b257-81cb7c234e44,2024,Chiropodomys gliroides,exact,ASM Mammal Diversity Database v2.5 (2026)
bandicota_bengalensis,Bandicota bengalensis,Bandicota bengalensis,Lesser Bandicoot Rat,Rodentia,Muridae,Bandicota,bengalensis,species,false,true,,,,,true,,,false,Mammals of Myanmar: an annotated checklist,https://www.gbif.org/dataset/0837bd43-fa3c-4a68-b257-81cb7c234e44,2024,Bandicota bengalensis,exact,ASM Mammal Diversity Database v2.5 (2026)
bandicota_savilei,Bandicota savilei,Bandicota savilei,Savile's Bandicoot Rat,Rodentia,Muridae,Bandicota,savilei,species,false,true,,,,,true,,,false,Mammals of Myanmar: an annotated checklist,https://www.gbif.org/dataset/0837bd43-fa3c-4a68-b257-81cb7c234e44,2024,Bandicota savilei,exact,ASM Mammal Diversity Database v2.5 (2026)
berylmys_manipulus,Berylmys manipulus,Berylmys manipulus,Manipur White-toothed Rat,Rodentia,Muridae,Berylmys,manipulus,species,false,true,,,,,true,,,false,Mammals of Myanmar: an annotated checklist,https://www.gbif.org/dataset/0837bd43-fa3c-4a68-b257-81cb7c234e44,2024,Berylmys manipulus,exact,ASM Mammal Diversity Database v2.5 (2026)
berylmys_berdmorei,Berylmys berdmorei,Berylmys berdmorei,Berdmore's White-toothed Rat,Rodentia,Muridae,Berylmys,berdmorei,species,false,true,,,,,true,,,false,Mammals of Myanmar: an annotated checklist,https://www.gbif.org/dataset/0837bd43-fa3c-4a68-b257-81cb7c234e44,2024,Berylmys berdmorei,exact,ASM Mammal Diversity Database v2.5 (2026)
berylmys_bowersi,Berylmys bowersi,Berylmys bowersi,,Rodentia,Muridae,Berylmys,bowersi,species,false,true,,,,,true,,,false,Mammals of Myanmar: an annotated checklist,https://www.gbif.org/dataset/0837bd43-fa3c-4a68-b257-81cb7c234e44,2024,,genus_family_only,ASM Mammal Diversity Database v2.5 (2026)
chiromyscus_langbianis,Chiromyscus langbianis,Chiromyscus langbianis,Langbian Tree Rat,Rodentia,Muridae,Chiromyscus,langbianis,species,false,true,,,,,true,,,false,Mammals of Myanmar: an annotated checklist,https://www.gbif.org/dataset/0837bd43-fa3c-4a68-b257-81cb7c234e44,2024,Chiromyscus langbianis,exact,ASM Mammal Diversity Database v2.5 (2026)
berylmys_mackenziei,Berylmys mackenziei,Berylmys mackenziei,Mackenzie's White-toothed Rat,Rodentia,Muridae,Berylmys,mackenziei,species,false,true,,,,,true,,,false,Mammals of Myanmar: an annotated checklist,https://www.gbif.org/dataset/0837bd43-fa3c-4a68-b257-81cb7c234e44,2024,Berylmys mackenziei,exact,ASM Mammal Diversity Database v2.5 (2026)
hapalomys_longicaudatus,Hapalomys longicaudatus,Hapalomys longicaudatus,Greater Marmoset Rat,Rodentia,Muridae,Hapalomys,longicaudatus,species,false,true,,,,,true,,,false,Mammals of Myanmar: an annotated checklist,https://www.gbif.org/dataset/0837bd43-fa3c-4a68-b257-81cb7c234e44,2024,Hapalomys longicaudatus,exact,ASM Mammal Diversity Database v2.5 (2026)
diomys_crumpi,Diomys crumpi,Diomys crumpi,Crump's Rat,Rodentia,Muridae,Diomys,crumpi,species,false,true,,,,,true,,,false,Mammals of Myanmar: an annotated checklist,https://www.gbif.org/dataset/0837bd43-fa3c-4a68-b257-81cb7c234e44,2024,Diomys crumpi,exact,ASM Mammal Diversity Database v2.5 (2026)
chiromyscus_chiropus,Chiromyscus chiropus,Chiromyscus chiropus,Burmese Tree Rat,Rodentia,Muridae,Chiromyscus,chiropus,species,false,true,,,,,true,,,false,Mammals of Myanmar: an annotated checklist,https://www.gbif.org/dataset/0837bd43-fa3c-4a68-b257-81cb7c234e44,2024,Chiromyscus chiropus,exact,ASM Mammal Diversity Database v2.5 (2026)
bandicota_indica,Bandicota indica,Bandicota indica,Greater Bandicoot Rat,Rodentia,Muridae,Bandicota,indica,species,false,true,,,,,true,,,false,Mammals of Myanmar: an annotated checklist,https://www.gbif.org/dataset/0837bd43-fa3c-4a68-b257-81cb7c234e44,2024,Bandicota indica,exact,ASM Mammal Diversity Database v2.5 (2026)
leopoldamys_vociferans,Leopoldamys vociferans,Leopoldamys vociferans,,Rodentia,Muridae,Leopoldamys,vociferans,species,false,true,,,,,true,,,false,Mammals of Myanmar: an annotated checklist,https://www.gbif.org/dataset/0837bd43-fa3c-4a68-b257-81cb7c234e44,2024,,genus_family_only,ASM Mammal Diversity Database v2.5 (2026)
